# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_alps
# Exported by: Bestari
setting:	replacespawns 0
weapon_ttt_smokegrenade	-176.996704 -656.162109 -330.496399	36.586 79.182 95.826
weapon_ttt_smokegrenade	-158.568649 -565.293091 -350.516541	-6.168 -18.762 -96.062
weapon_ttt_smokegrenade	-200.884979 -643.201111 -331.985382	27.330 -14.460 74.856
weapon_ttt_smokegrenade	-194.425507 -523.614563 -355.352417	-2.482 -60.361 -97.531
weapon_ttt_smokegrenade	-190.353668 -606.838318 -341.504181	-32.640 -3.296 -101.028
weapon_ttt_smokegrenade	1853.312256 4159.162598 191.658035	19.461 81.597 89.774
weapon_ttt_smokegrenade	1858.619141 4171.031250 192.350510	15.630 114.793 -93.009
weapon_ttt_smokegrenade	1852.391357 4165.090820 192.165833	25.172 -15.317 95.538
weapon_ttt_smokegrenade	1858.382202 4164.963867 192.141556	8.619 -53.555 70.405
weapon_ttt_smokegrenade	1852.057129 4170.750488 192.231689	18.967 19.000 -85.335
weapon_ttt_smokegrenade	1861.608643 4171.217285 192.858124	23.896 -3.109 95.875
weapon_ttt_smokegrenade	1849.757324 4170.382324 194.225952	-65.790 21.075 67.284
weapon_ttt_smokegrenade	1856.958740 4179.256348 193.122879	-38.182 151.320 -79.998
weapon_ttt_smokegrenade	1862.249878 4172.249512 198.781494	9.620 -111.254 145.252
weapon_ttt_smokegrenade	1852.597900 4164.796387 194.419510	44.743 -35.082 -74.006
weapon_ttt_smokegrenade	1852.667236 4159.935059 195.722443	-17.288 -15.659 29.353
weapon_ttt_smokegrenade	1860.004028 4163.867188 195.215073	-40.250 -24.737 88.085
ttt_random_weapon	-1695.693970 1344.984497 151.708237	10.113 -53.110 -92.036
ttt_random_weapon	-2026.407715 -889.977295 123.198410	1.893 4.781 -92.556
ttt_random_weapon	-2016.921265 -905.811646 123.197647	1.902 4.782 -92.536
ttt_random_weapon	-728.855408 -274.470184 -258.303925	-10.155 3.524 -93.299
ttt_random_weapon	1332.798828 -340.208374 388.868347	1.772 4.708 -92.832
ttt_random_weapon	1478.136353 646.035095 137.954605	4.948 -18.786 -91.409
ttt_random_weapon	89.797096 4749.743164 223.472412	1.353 2.861 -93.793
ttt_random_weapon	96.308113 4828.216309 222.969849	7.862 -1.577 -4.774
ttt_random_weapon	-63.940228 4668.737793 193.400238	-23.222 4.480 -95.706
ttt_random_weapon	-60.994328 4600.019531 193.249176	1.183 -2.750 -94.438
ttt_random_weapon	-1071.350098 1113.231567 134.527588	3.376 6.293 -95.948
ttt_random_weapon	-1999.200073 -92.938988 295.773621	1.466 2.854 -93.534
ttt_random_weapon	-2045.403076 227.330780 290.922729	1.222 9.789 -93.809
ttt_random_weapon	-1631.105103 220.281296 295.754333	1.684 2.870 -93.034
ttt_random_weapon	-1516.786743 59.643288 257.244385	1.294 4.151 -93.837
ttt_random_weapon	-1938.881226 74.290489 163.817474	7.947 -0.928 -5.916
ttt_random_weapon	-1522.245483 221.862488 129.218842	1.663 4.765 -93.084
ttt_random_weapon	379.867462 -1242.316650 134.413437	-10.502 11.021 -104.024
ttt_random_weapon	636.773315 -1186.219482 165.878418	-4.380 2.133 -92.904
item_ammo_smg1_ttt	1441.096680 107.336609 198.040543	-4.619 1.688 2.408
item_ammo_smg1_ttt	1442.026367 126.601982 197.906052	-10.170 -1.228 -1.044
item_ammo_smg1_ttt	2641.751221 2257.916260 144.126770	-2.907 -0.196 1.104
item_ammo_smg1_ttt	2635.246826 2218.401611 143.150238	-3.456 -0.438 0.830
item_ammo_smg1_ttt	2676.838623 2294.661865 145.533142	-2.457 0.039 -0.127
item_ammo_smg1_ttt	2000.447510 -559.660034 158.155319	-9.342 -0.195 2.337
item_ammo_smg1_ttt	1966.757446 -543.907043 156.498276	-3.030 -0.211 2.351
item_ammo_smg1_ttt	2015.996338 -588.031799 159.575836	-3.897 0.103 4.595
item_ammo_smg1_ttt	1991.844482 -605.573059 155.391403	-5.553 -0.103 2.416
item_ammo_smg1_ttt	1940.387939 -540.696350 154.660110	-6.150 0.766 2.260
item_ammo_smg1_ttt	1944.701782 -581.440247 153.182495	-4.901 0.100 2.794
weapon_ttt_m16	1861.546143 -1048.625732 181.334351	-1.790 1.798 77.977
weapon_ttt_m16	1376.625610 124.102913 196.295273	1.225 4.425 83.080
weapon_ttt_m16	-1755.187256 4158.249023 278.982452	1.863 -9.567 84.414
weapon_ttt_m16	-2070.364014 2927.164795 264.830627	2.438 10.216 84.107
weapon_ttt_m16	-1727.921753 808.769287 108.123077	-4.988 -1.713 -82.948
weapon_ttt_m16	-1090.846069 973.343567 137.186005	1.426 -5.125 83.204
item_box_buckshot_ttt	-1157.899292 -1341.158569 149.434448	0.082 0.091 -0.053
item_box_buckshot_ttt	-1156.667603 -1380.651367 149.430740	-0.779 0.020 -0.569
item_box_buckshot_ttt	-1157.530762 -1361.951172 149.520721	-0.015 -0.052 0.010
item_box_buckshot_ttt	-841.648682 354.744507 -352.960510	-10.025 -0.011 6.849
item_box_buckshot_ttt	-830.784912 355.481628 -352.351990	-0.868 0.602 7.967
item_box_buckshot_ttt	-2039.216919 -125.051125 -348.933807	-2.441 -0.255 -2.686
item_box_buckshot_ttt	-2027.632080 -125.460701 -348.421356	-2.529 -0.166 -2.804
item_box_buckshot_ttt	1924.465942 4105.555176 150.206573	1.457 0.090 8.956
item_box_buckshot_ttt	1933.857910 4105.433594 149.919525	1.758 -1.560 8.920
item_box_buckshot_ttt	420.911102 4657.212402 132.969040	7.399 0.141 1.021
item_box_buckshot_ttt	429.238770 4659.395508 131.943253	7.402 0.141 1.022
item_box_buckshot_ttt	84.252792 4670.391602 222.733459	-0.044 0.011 0.036
item_box_buckshot_ttt	94.886658 4670.244141 222.727310	-0.091 0.001 0.077
item_box_buckshot_ttt	-2158.432129 -175.838898 128.417297	0.052 0.083 0.040
item_box_buckshot_ttt	-2147.354980 -177.411758 128.371719	0.766 -0.119 -0.531
ttt_random_ammo	-2001.439331 -919.393433 122.432556	1.251 -0.031 -1.509
ttt_random_ammo	-2014.035156 -921.293396 122.436661	1.115 -0.028 -1.338
ttt_random_ammo	-2015.170898 -878.021790 122.374481	0.119 0.000 0.083
ttt_random_ammo	-2027.602661 -879.683228 122.351189	0.052 0.000 -0.011
ttt_random_ammo	-746.949097 -269.628418 -262.867157	-11.009 5.965 0.478
ttt_random_ammo	-737.528748 -264.953613 -257.677948	-79.004 -178.471 173.929
