# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_lumbridge_a4
# Exported by: Bestari
setting:	replacespawns 0
weapon_ttt_smokegrenade	170.028000 597.927002 388.734009	0.000 300.500 90.000
weapon_ttt_smokegrenade	181.072006 609.132996 388.734009	0.000 57.500 90.000
weapon_ttt_smokegrenade	180.966003 622.583984 388.734009	0.000 156.500 90.000
weapon_ttt_smokegrenade	167.886993 622.765015 388.734009	0.000 29.500 90.000
weapon_ttt_smokegrenade	-416.580994 -5.607520 90.919403	0.000 295.000 90.000
weapon_ttt_smokegrenade	-416.332001 19.321600 90.919403	0.000 24.000 90.000
weapon_ttt_smokegrenade	-403.330994 17.888000 90.919403	0.000 151.000 90.000
weapon_ttt_smokegrenade	-404.514008 4.488600 90.919403	0.000 52.000 90.000
weapon_ttt_smokegrenade	-478.750000 20.929100 90.919403	0.000 115.000 90.000
weapon_ttt_smokegrenade	-478.998993 -4.000000 90.919403	0.000 204.000 90.000
weapon_ttt_smokegrenade	-492.000000 -2.566420 90.919403	0.000 331.000 90.000
weapon_ttt_smokegrenade	-490.816010 10.833000 90.919403	0.000 232.000 90.000
weapon_ttt_smokegrenade	-301.436005 890.744019 169.031998	0.000 70.000 90.000
weapon_ttt_smokegrenade	-317.108002 892.137024 169.031998	0.000 187.000 90.000
weapon_ttt_smokegrenade	261.393005 715.671021 -38.530102	0.000 97.000 90.000
weapon_ttt_smokegrenade	260.000000 700.000000 -38.530102	0.000 340.000 90.000
weapon_ttt_smokegrenade	264.000000 896.000000 116.735001	0.000 187.000 90.000
weapon_ttt_smokegrenade	279.670990 894.606995 116.735001	0.000 70.000 90.000
weapon_ttt_smokegrenade	-771.466980 -1195.589966 129.235001	0.000 187.000 90.000
weapon_ttt_smokegrenade	-755.794983 -1196.979980 129.235001	0.000 70.000 90.000
weapon_ttt_smokegrenade	-707.671997 -454.606995 104.000000	0.000 187.000 90.000
weapon_ttt_smokegrenade	-692.000000 -456.000000 104.000000	0.000 70.000 90.000
weapon_ttt_smokegrenade	381.914001 397.648010 20.734600	0.000 277.000 90.000
weapon_ttt_smokegrenade	383.307007 413.320007 20.734600	0.000 160.000 90.000
weapon_ttt_smokegrenade	-204.000000 553.393005 -24.000000	0.000 187.000 90.000
weapon_ttt_smokegrenade	-188.328003 552.000000 -24.000000	0.000 70.000 90.000
weapon_ttt_smokegrenade	1578.150024 615.146973 244.735001	0.000 198.000 90.000
weapon_ttt_smokegrenade	1593.800049 616.770020 244.735001	0.000 81.000 90.000
ttt_random_weapon	17.947697 242.661484 -78.775810	1.602 4.919 -93.222
ttt_random_weapon	267.741089 650.695740 3.900524	-1.296 -87.041 83.801
ttt_random_weapon	68.235344 609.103516 -78.286774	-2.468 -22.610 86.285
ttt_random_weapon	214.584412 188.920212 -42.588333	2.201 1.764 -92.270
ttt_random_weapon	199.017334 405.993286 -44.800842	1.885 4.781 -92.575
ttt_random_weapon	198.263626 646.118225 158.146637	1.574 -5.614 -93.389
ttt_random_weapon	-102.130104 548.549500 149.942505	1.786 6.677 -93.355
ttt_random_weapon	-357.292480 471.910858 385.209900	1.764 4.928 -92.852
ttt_random_weapon	-597.759827 873.813843 395.699005	-2.243 -6.835 84.976
ttt_random_weapon	607.309082 891.883545 395.217499	1.678 4.699 -93.049
ttt_random_weapon	359.475372 463.457703 385.213745	1.720 4.926 -92.952
ttt_random_weapon	110.812675 756.584045 385.201599	1.857 4.928 -92.638
ttt_random_weapon	-532.972717 532.975464 284.728668	7.659 4.430 -4.275
ttt_random_weapon	534.911438 704.884521 285.244965	1.229 3.535 -94.604
ttt_random_weapon	14.181217 261.593231 249.214249	1.715 4.926 -92.965
ttt_random_weapon	164.591400 -296.379120 289.200684	1.868 4.702 -92.614
ttt_random_weapon	-131.517319 -291.962219 289.200745	1.867 4.920 -92.616
ttt_random_weapon	-157.123688 -325.472412 65.231606	1.518 6.606 -93.414
