# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_mc_mineshaft
# Exported by: Bestari
setting:	replacespawns 0
weapon_ttt_smokegrenade	-654.947021 287.838013 535.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-656.531982 298.372986 535.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-657.528015 311.238007 535.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-144.811996 -53.852600 215.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-146.570007 -47.576401 215.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	252.384003 442.005005 575.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	265.127014 441.683014 575.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	797.422974 554.848022 415.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	797.421997 542.362000 415.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	529.015991 166.886002 175.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-299.971985 132.569000 415.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	106.032997 687.778992 535.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	290.634003 -152.110992 255.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	308.089996 -154.656998 255.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	450.592987 -150.753006 255.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	468.855011 -153.960999 255.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-233.972000 548.568970 174.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-325.166992 648.708984 575.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-326.000000 660.000000 575.734985	0.000 0.000 0.000
ttt_random_weapon	822.000000 1020.000000 260.372986	0.000 0.000 0.000
ttt_random_weapon	138.000000 1194.000000 420.372986	0.000 0.000 0.000
ttt_random_weapon	138.000000 1182.000000 420.372986	0.000 0.000 0.000
ttt_random_weapon	-358.196869 1094.960938 563.458313	1.746 6.035 -92.899
ttt_random_weapon	96.812363 666.387268 563.712219	1.396 3.170 -93.304
ttt_random_weapon	267.950317 584.289917 571.238770	1.437 4.665 -93.601
ttt_random_weapon	262.785522 562.540894 571.238037	1.445 4.667 -93.582
ttt_random_weapon	297.884125 341.226257 451.674530	-2.068 -160.123 85.450
ttt_random_weapon	374.173187 -38.853317 251.141083	1.947 0.122 -92.079
ttt_random_weapon	419.560028 -224.983536 91.218559	1.666 4.923 -93.076
ttt_random_weapon	1090.178955 685.737488 243.746750	1.289 3.343 -94.156
ttt_random_weapon	487.546967 751.757202 291.226257	1.579 4.918 -93.276
ttt_random_weapon	485.251678 735.111694 291.194763	1.934 4.925 -92.462
ttt_random_weapon	857.904541 934.265320 611.222961	1.616 4.692 -93.190
ttt_random_weapon	833.284912 527.253418 443.722534	1.620 5.610 -93.181
ttt_random_weapon	499.647919 1348.890259 611.231934	1.514 4.913 -93.423
ttt_random_weapon	2109.799072 2739.870605 -268.767212	1.505 2.770 -93.445
ttt_random_weapon	2324.040039 2727.931885 -268.819916	2.682 -3.193 -91.833
ttt_random_weapon	2500.427002 1470.476440 -268.776276	1.608 4.691 -93.210
ttt_random_weapon	2500.536621 1687.723511 -268.789703	1.759 4.707 -92.863
ttt_random_weapon	1198.889526 124.056557 171.229782	1.539 4.681 -93.367
ttt_random_weapon	1167.178101 170.974686 171.221786	1.629 4.694 -93.160
ttt_random_weapon	1077.887939 109.282791 171.221390	1.634 4.694 -93.150
ttt_random_weapon	1453.183960 111.626320 171.203430	1.836 4.714 -92.686
ttt_random_weapon	1441.670898 370.595398 171.202744	1.844 4.714 -92.668
ttt_random_weapon	-189.023514 465.742065 211.142319	2.252 5.213 -92.812
ttt_random_weapon	183.155334 -212.745544 171.228287	1.556 4.277 -93.329
ttt_random_weapon	94.995300 598.130737 531.224487	1.558 -10.686 -93.481
ttt_random_weapon	-304.802399 387.598572 451.671997	-1.466 25.378 85.093
item_ammo_smg1_ttt	-312.000000 134.000000 411.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	672.000000 -108.000000 171.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	169.992996 700.556030 571.344971	0.000 0.000 0.000
item_ammo_smg1_ttt	653.635010 1331.160034 571.344971	0.000 0.000 0.000
item_ammo_smg1_ttt	654.002991 1360.780029 571.344971	0.000 0.000 0.000
item_ammo_smg1_ttt	531.890015 179.901001 171.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	812.000000 538.000000 174.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	812.000000 564.000000 174.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	812.000000 590.000000 174.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	263.052002 -222.985001 251.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	412.000000 174.000000 411.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	426.000000 174.000000 411.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	420.000000 174.000000 426.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	-129.358002 940.640991 610.344971	0.000 0.000 0.000
item_ammo_smg1_ttt	214.000000 932.000000 331.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	200.000000 932.000000 331.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	690.000000 466.000000 371.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	704.000000 466.000000 371.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	-389.631989 883.619995 530.344971	0.000 0.000 0.000
item_ammo_smg1_ttt	-390.000000 854.000000 530.344971	0.000 0.000 0.000
item_ammo_smg1_ttt	658.000000 775.015015 210.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	674.000000 774.000000 210.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	-208.000000 548.000000 170.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	-31.000000 214.000000 210.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	507.000000 492.174988 90.344803	0.000 0.000 0.000
item_ammo_smg1_ttt	501.000000 492.174988 105.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	493.000000 492.174988 90.344803	0.000 0.000 0.000
item_ammo_smg1_ttt	487.000000 -187.000000 210.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	-311.000000 451.000000 491.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	-297.000000 451.000000 491.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	149.000000 -27.000000 411.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	136.000000 -27.000000 411.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	-32.000000 780.000000 570.344971	0.000 0.000 0.000
item_ammo_smg1_ttt	550.000000 1148.000000 610.344971	0.000 0.000 0.000
item_ammo_smg1_ttt	512.000000 1588.000000 571.344971	0.000 0.000 0.000
item_ammo_smg1_ttt	512.000000 1566.000000 571.344971	0.000 0.000 0.000
item_ammo_smg1_ttt	512.000000 1394.000000 571.344971	0.000 0.000 0.000
item_ammo_smg1_ttt	512.000000 1372.000000 571.344971	0.000 0.000 0.000
item_ammo_smg1_ttt	-8.000000 267.147003 288.471008	0.000 0.000 0.000
weapon_ttt_m16	-540.000000 286.000000 535.682983	0.000 0.000 0.000
weapon_ttt_m16	-540.000000 298.000000 535.682983	0.000 0.000 0.000
weapon_ttt_m16	-540.000000 310.000000 535.682983	0.000 0.000 0.000
weapon_ttt_m16	-584.000000 286.000000 535.682983	0.000 0.000 0.000
