# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_old_factory
# Exported by: Bestari
setting:	replacespawns 0
weapon_ttt_smokegrenade	834.841003 -496.875000 5.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	918.174011 -500.049011 5.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-95.960602 -421.907013 181.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	38.036201 -427.592010 181.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1061.400024 -440.059998 545.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1751.459961 207.488998 261.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-353.480011 -1787.349976 393.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1191.750000 -1442.060059 901.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1433.900024 -1648.239990 1.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1245.079956 -1805.829956 385.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1434.699951 -1392.270020 901.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1184.260010 336.230988 1.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	952.799011 -87.847198 0.999992	0.000 0.000 0.000
weapon_ttt_smokegrenade	373.306000 171.587006 129.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	373.125000 250.445007 129.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	367.309998 212.557999 129.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	71.780098 315.743011 257.000000	0.000 0.000 0.000
ttt_random_weapon	1020.900024 -406.265015 10.372900	0.000 0.000 0.000
ttt_random_weapon	1020.380005 -445.023010 10.372900	0.000 0.000 0.000
ttt_random_weapon	1084.900024 -444.255005 10.372900	0.000 0.000 0.000
ttt_random_weapon	1082.270020 340.778992 104.153999	0.000 0.000 0.000
ttt_random_weapon	1533.760010 32.412300 142.373001	0.000 0.000 0.000
ttt_random_weapon	1492.209961 36.379200 142.373001	0.000 0.000 0.000
ttt_random_weapon	1790.219971 224.985992 270.372986	0.000 0.000 0.000
ttt_random_weapon	1704.489990 212.748001 270.372986	0.000 0.000 0.000
ttt_random_weapon	1401.329956 305.355011 52.372898	0.000 0.000 0.000
ttt_random_weapon	1403.000000 284.213989 52.372898	0.000 0.000 0.000
ttt_random_weapon	1402.699951 346.554993 52.372898	0.000 0.000 0.000
ttt_random_weapon	1790.770020 223.839005 10.372900	0.000 0.000 0.000
ttt_random_weapon	1854.550049 -70.627197 10.372900	0.000 0.000 0.000
ttt_random_weapon	1780.439941 -697.182983 10.372900	0.000 0.000 0.000
ttt_random_weapon	1797.229980 -975.549988 10.372900	0.000 0.000 0.000
ttt_random_weapon	1017.940002 -543.041992 10.372900	0.000 0.000 0.000
ttt_random_weapon	-308.734985 -1136.310059 10.372900	0.000 0.000 0.000
ttt_random_weapon	-314.479004 -1096.500000 10.372900	0.000 0.000 0.000
ttt_random_weapon	-316.638000 -1051.359985 10.372900	0.000 0.000 0.000
