# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_plaza_b7
# Exported by: Bestari
setting:	replacespawns 0
weapon_ttt_smokegrenade	360.000000 -597.000000 71.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	360.000000 -616.000000 71.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	360.000000 -632.000000 71.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	360.000000 -648.000000 71.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	360.000000 -664.000000 71.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	360.000000 -760.000000 71.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	360.000000 -744.000000 71.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	360.000000 -728.000000 71.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	360.000000 -712.000000 71.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	360.000000 -693.000000 71.000000	0.000 0.000 0.000
ttt_random_weapon	-233.820007 -266.907013 40.669601	0.000 0.000 0.000
ttt_random_weapon	292.157013 -290.549988 24.794100	0.000 0.000 0.000
ttt_random_weapon	1239.069946 -1060.040039 74.372902	0.000 0.000 0.000
ttt_random_weapon	1238.479980 -858.534973 74.372902	0.000 0.000 0.000
ttt_random_weapon	1036.780029 -1193.369995 74.372902	0.000 0.000 0.000
ttt_random_weapon	1180.300049 -518.481018 74.372902	0.000 0.000 0.000
ttt_random_weapon	416.040985 -1014.270020 111.600998	0.000 0.000 0.000
ttt_random_weapon	508.928009 -1014.270020 110.934998	0.000 0.000 0.000
ttt_random_weapon	2515.366455 -961.566772 122.416824	-2.323 -75.322 85.746
ttt_random_weapon	2414.668945 -485.486176 115.216034	1.695 4.619 -93.011
ttt_random_weapon	2533.079834 -477.258270 110.503334	1.420 7.596 -94.542
ttt_random_weapon	2609.961426 -25.255493 77.199417	1.882 4.926 -92.582
ttt_random_weapon	2600.496094 -82.824699 77.214760	1.709 4.925 -92.978
ttt_random_weapon	3028.996094 1447.236938 71.709724	1.391 2.786 -92.049
ttt_random_weapon	2027.837769 1353.173828 83.294151	0.076 2.762 -93.083
ttt_random_weapon	614.125732 1340.629395 337.213745	1.720 4.926 -92.952
ttt_random_weapon	277.453918 865.473145 233.804993	1.705 4.768 -92.986
ttt_random_weapon	362.836670 1320.442017 233.786774	1.910 4.782 -92.516
ttt_random_weapon	955.129883 1327.267456 233.793304	1.837 4.777 -92.685
ttt_random_weapon	948.745178 828.207947 233.798050	0.786 0.470 -93.347
ttt_random_weapon	1149.915405 819.142395 97.787148	1.902 4.782 -92.536
ttt_random_weapon	1129.531860 804.584656 97.745941	1.993 3.779 -92.116
ttt_random_weapon	287.420074 1216.483643 115.220978	1.639 4.764 -93.139
ttt_random_weapon	394.572021 1215.133667 115.217491	1.678 4.766 -93.049
ttt_random_weapon	624.923706 263.480865 103.203560	1.981 3.887 -93.796
ttt_random_weapon	-309.143066 -832.276917 65.186752	2.024 -166.798 -92.256
ttt_random_weapon	-873.661133 -669.996948 97.205399	1.814 4.776 -92.736
ttt_random_weapon	-1271.380615 -299.093353 95.254814	1.505 4.754 -93.446
ttt_random_weapon	-1260.412842 -343.309570 95.228035	1.807 4.775 -92.753
ttt_random_weapon	-1166.938843 -269.435425 95.225410	1.837 4.777 -92.685
ttt_random_weapon	-1191.936523 -315.015411 95.238548	1.689 4.767 -93.024
ttt_random_weapon	-1101.991943 -312.503204 95.262558	1.417 4.746 -93.646
ttt_random_weapon	-1156.765991 -354.151428 95.233948	1.741 4.771 -92.905
ttt_random_weapon	-1114.248535 -275.012054 95.241287	1.658 4.765 -93.095
ttt_random_weapon	-1222.816895 -281.172058 95.232834	1.753 4.772 -92.877
ttt_random_weapon	1173.870605 658.123962 101.797050	2.222 2.872 -92.032
ttt_random_weapon	1127.609375 319.010498 267.879883	2.197 3.205 -92.124
ttt_random_weapon	1011.835205 289.911163 201.206177	1.715 6.428 -92.927
ttt_random_weapon	572.281372 523.642334 238.195023	1.287 4.469 -93.802
ttt_random_weapon	692.929321 512.423889 267.862488	1.750 3.904 -93.172
ttt_random_weapon	660.293213 489.212646 201.131561	2.167 4.703 -91.380
ttt_random_weapon	1250.192871 341.739838 66.782204	-4.150 0.536 -13.891
ttt_random_weapon	1208.440552 350.830963 65.220146	1.648 4.764 -93.117
ttt_random_weapon	1215.349365 -1076.689697 65.208115	1.784 4.928 -92.806
ttt_random_weapon	1224.272339 -1019.301331 65.740211	-2.231 96.508 86.827
ttt_random_weapon	1213.864258 -877.166138 65.195580	1.925 4.924 -92.483
ttt_random_weapon	814.746094 -910.909485 65.200867	1.865 4.929 -92.619
ttt_random_weapon	815.255066 -815.465271 65.215729	1.698 5.212 -93.003
ttt_random_weapon	791.818115 -1001.888977 65.210464	1.757 4.928 -92.867
ttt_random_weapon	792.026733 -1101.382568 65.215256	1.703 4.926 -92.991
ttt_random_weapon	658.583618 -608.541504 201.220566	1.643 4.764 -93.128
ttt_random_weapon	599.992615 -159.650375 201.235825	1.471 5.250 -93.524
ttt_random_weapon	1234.665405 -548.293030 201.192856	1.956 4.786 -92.412
item_ammo_smg1_ttt	80.000000 -792.286987 101.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	80.000000 -767.000000 101.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	80.000000 -741.713013 101.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	80.000000 -647.427002 101.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	80.000000 -672.713013 101.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	80.000000 -698.000000 101.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	1136.219971 534.843994 201.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	1134.699951 506.700989 201.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	-299.000000 1088.000000 72.000000	0.000 270.000 0.000
item_ammo_smg1_ttt	-273.000000 1088.000000 72.000000	0.000 270.000 0.000
item_ammo_smg1_ttt	2568.699951 -970.168030 77.344704	0.000 0.000 0.000
item_ammo_smg1_ttt	2572.719971 -935.653992 77.344704	0.000 0.000 0.000
item_ammo_smg1_ttt	1204.050049 -310.558014 201.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	1207.109985 -335.454010 201.345001	0.000 0.000 0.000
weapon_ttt_m16	112.000000 -1140.000000 142.000000	0.000 0.000 0.000
weapon_ttt_m16	112.000000 -1140.000000 118.000000	0.000 0.000 0.000
weapon_ttt_m16	2542.340088 -886.952026 131.298004	0.000 0.000 0.000
weapon_ttt_m16	1137.239990 -464.587006 69.682800	0.000 0.000 0.000
weapon_ttt_m16	1102.689941 -277.417999 205.682999	0.000 0.000 0.000
weapon_ttt_m16	1078.849976 -428.105011 205.682999	0.000 0.000 0.000
weapon_ttt_m16	815.065002 -145.048004 86.744202	0.000 0.000 0.000
item_box_buckshot_ttt	69.000000 -1108.000000 67.000000	0.000 0.000 0.000
item_box_buckshot_ttt	69.000000 -1121.000000 67.000000	0.000 0.000 0.000
item_box_buckshot_ttt	69.000000 -1133.000000 67.000000	0.000 0.000 0.000
