# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_subway_b4
# Exported by: Bestari
setting:	replacespawns 0
weapon_ttt_smokegrenade	-2381.600098 -620.362000 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-2373.620117 -65.853401 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1672.569946 -467.024994 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1671.880005 -450.744995 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1685.150024 -462.873993 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1237.060059 -959.070984 -10.265400	0.000 0.000 0.000
weapon_ttt_smokegrenade	-625.961975 -341.324005 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1009.869995 -1519.030029 1.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-996.331970 -1519.010010 1.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	163.477005 -1763.469971 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	47.705700 -834.286987 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	46.534901 105.044998 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	48.316898 95.392403 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-264.847992 621.361023 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1993.550049 -1445.729980 157.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1994.849976 -1432.640015 157.735001	0.000 0.000 0.000
ttt_random_weapon	-1503.900024 -1244.349976 10.372900	0.000 0.000 0.000
ttt_random_weapon	-1308.119995 -1245.199951 10.372900	0.000 0.000 0.000
ttt_random_weapon	-1368.380005 134.462006 10.372900	0.000 0.000 0.000
ttt_random_weapon	-1510.660034 124.684998 10.372900	0.000 0.000 0.000
ttt_random_weapon	-798.629700 -1866.111694 -2.832012	2.184 5.689 -92.089
ttt_random_weapon	84.551819 608.412659 1.208718	1.777 4.928 -92.822
ttt_random_weapon	102.011047 -2669.742432 1.213733	1.720 4.926 -92.952
ttt_random_weapon	-2545.776123 -605.686096 41.698441	1.564 5.411 -93.336
ttt_random_weapon	-2549.585205 -756.754639 65.218864	1.662 4.697 -93.084
ttt_random_weapon	-2465.676514 -2468.574707 67.202057	1.852 4.715 -92.650
ttt_random_weapon	-1894.654907 -2107.211670 51.176746	1.934 5.710 -92.604
ttt_random_weapon	-2045.247192 -1356.500610 153.203415	1.837 4.777 -92.685
ttt_random_weapon	-344.064911 -1071.159424 1.220520	1.644 4.988 -93.127
item_ammo_smg1_ttt	80.000000 632.000000 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	94.000000 632.000000 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	108.000000 632.000000 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	-2474.000000 -2396.000000 62.000000	0.000 355.500 0.000
item_ammo_smg1_ttt	-2460.000000 -2398.000000 62.000000	0.000 355.500 0.000
item_ammo_smg1_ttt	-2474.000000 -2374.000000 62.000000	0.000 355.500 0.000
item_ammo_smg1_ttt	-2458.000000 -2376.000000 62.000000	0.000 355.500 0.000
item_ammo_smg1_ttt	-567.122986 -971.354980 57.344700	0.000 0.000 0.000
item_ammo_smg1_ttt	-565.523987 -939.797974 57.344700	0.000 0.000 0.000
item_ammo_smg1_ttt	-796.289978 -894.828003 49.344700	0.000 0.000 0.000
item_ammo_smg1_ttt	-809.726013 -801.164001 49.344700	0.000 0.000 0.000
item_ammo_smg1_ttt	-1582.630005 -1176.560059 -14.655300	0.000 0.000 0.000
item_ammo_smg1_ttt	-1772.099976 -2021.000000 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	-1752.890015 -2024.270020 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	-2155.340088 -547.184021 49.344700	0.000 0.000 0.000
item_ammo_smg1_ttt	-2174.659912 -562.083008 49.344700	0.000 0.000 0.000
item_ammo_smg1_ttt	-2373.090088 -70.031898 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	-2407.600098 -71.812302 1.344720	0.000 0.000 0.000
weapon_ttt_m16	-611.661987 -1208.780029 5.682850	0.000 0.000 0.000
weapon_ttt_m16	-1706.949951 -480.141998 5.682850	0.000 0.000 0.000
weapon_ttt_m16	-2042.089966 -1821.869995 5.682850	0.000 0.000 0.000
weapon_ttt_m16	-1354.310059 -2205.949951 13.682800	0.000 0.000 0.000
item_box_buckshot_ttt	-684.380005 -1499.989990 -2.706120	0.000 0.000 0.000
item_box_buckshot_ttt	-698.330017 -1497.180054 -2.706120	0.000 0.000 0.000
item_box_buckshot_ttt	-714.099976 -1494.489990 -2.706120	0.000 0.000 0.000
item_box_buckshot_ttt	174.645996 -1479.310059 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	157.916000 -1478.839966 1.293880	0.000 0.000 0.000
